league_avg,home_adv,rho,min_training_matches,matches,accuracy_1x2,accuracy_ou25,log_loss_1x2,log_loss_ou25,score
1.15,1.12,-0.04,300,2514,0.5839299920445505,0.543357199681782,0.899764444103424,0.712398785972516,0.8435547466641515
1.35,1.04,-0.12,300,2514,0.581145584725537,0.5513126491646778,0.9049074807556897,0.7005552651664563,0.8436018160789197
1.15,1.12,-0.08,300,2514,0.5835322195704057,0.543357199681782,0.8998866345426787,0.712398785972516,0.8436402799716298
1.15,1.12,0.0,300,2514,0.5839299920445505,0.543357199681782,0.9000371301416987,0.7123987859725162,0.843745626890944
1.15,1.12,-0.12,300,2514,0.5843277645186953,0.543357199681782,0.9003926362819223,0.712398785972516,0.8439944811891004
1.25,1.04,0.0,300,2514,0.5819411296738266,0.5517104216388226,0.9056868471286691,0.7030175427973642,0.8448860558292777
1.25,1.04,-0.04,300,2514,0.581145584725537,0.5517104216388226,0.9056913743862107,0.7030175427973642,0.8448892249095568
1.15,1.08,-0.04,300,2514,0.5827366746221162,0.5493237867939539,0.903438228585282,0.7091190228532538,0.8451424668656734
1.25,1.04,-0.08,300,2514,0.5815433571996818,0.5517104216388226,0.9061002048147616,0.7030175427973642,0.8451754062095422
1.15,1.08,0.0,300,2514,0.5831344470962609,0.5493237867939539,0.9035690534812048,0.7091190228532538,0.8452340442928193
1.15,1.08,-0.08,300,2514,0.5827366746221162,0.5493237867939539,0.9037077299427275,0.7091190228532538,0.8453311178158853
1.35,1.0,0.0,300,2514,0.5835322195704057,0.5624502784407319,0.9087501144578509,0.6984678904772181,0.8456654472636611
1.25,1.04,-0.12,300,2514,0.5807478122513922,0.5517104216388226,0.9069023846021906,0.7030175427973642,0.8457369320607426
1.35,1.0,-0.04,300,2514,0.5831344470962609,0.5624502784407319,0.9088941757488816,0.6984678904772181,0.8457662901673826
1.15,1.08,-0.12,300,2514,0.5831344470962609,0.5493237867939539,0.9043668009024485,0.7091190228532537,0.84579246748769
1.35,1.0,-0.08,300,2514,0.5815433571996818,0.5624502784407319,0.9094463290888075,0.6984678904772181,0.8461527975053307
1.05,1.12,-0.04,300,2514,0.5831344470962609,0.5409705648369133,0.9020250538894544,0.7164110261690309,0.8463408455733273
1.05,1.12,-0.08,300,2514,0.5823389021479713,0.5409705648369133,0.9021564939984269,0.7164110261690309,0.8464328536496081
1.05,1.12,0.0,300,2514,0.5831344470962609,0.5409705648369133,0.9022890396716317,0.7164110261690309,0.8465256356208514
